航线,title,出发地,出发时间,卖家,内舱,海景,阳台,套房,评价
日本航线,皇家加勒比国际游轮【海洋量子号】 8天7晚 大阪+神户+名古屋,上海上船(多地可选),2018 08-16,皇家邮轮直连,¥8043起/人,售罄,售罄,¥40700起/人,92.2%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 6天5晚 八代+福冈,上海上船(多地可选),2018 10-20,携程国旅,¥3399起/人,¥3799起/人,¥4299起/人,¥5499起/人,92.2%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 6天5晚 福冈+鹿儿岛,上海上船(多地可选),2018 09-10,携程国旅,¥4499起/人,售罄,售罄,¥6566起/人,92.2%的人满意该产品
加勒比海航线,皇家加勒比国际游轮【海洋魅丽号】 12天10晚 跟团游·巴哈马、墨西哥科兹美、洪都拉斯、科斯塔玛雅4站,上海出发,2018 09-08,不夜城国旅,¥15800起/人,售罄,¥20300起/人,售罄,87.9%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 5天4晚 福冈,上海上船(多地可选),2018 07-26,光大星辰国旅,¥4782起/人,¥5799起/人,¥5899起/人,售罄,92.2%的人满意该产品
地中海航线,皇家加勒比国际游轮【海洋交响号】 12天10晚 跟团游·地中海巡游+西班牙双城记（西班牙 法国 意大利）,上海出发,2018 08-23,上海众信国旅,¥20800起/人,售罄,¥23800起/人,售罄,100.0%的人满意该产品
地中海航线,皇家加勒比国际游轮【海洋交响号】 11天8晚 跟团游·地中海巡游+巴塞罗那艺术之旅,上海出发,2018 08-24,光大星辰国旅,¥16999起/人,售罄,¥19999起/人,售罄,100.0%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 5天4晚 福冈,上海上船(多地可选),2018 10-25,携程国旅,¥3100起/人,¥3500起/人,¥3699起/人,¥4399起/人,92.2%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 7天6晚 鹿儿岛+神户（过夜）,上海上船(多地可选),2018 10-01,光大星辰国旅,¥8199起/人,¥8400起/人,¥9099起/人,¥12199起/人,92.2%的人满意该产品
加勒比海航线,皇家加勒比国际游轮【海洋和悦号 】 18天16晚 跟团游·东加勒比海+美东西全景+大瀑布（迈阿密、纽约、费城、华盛顿、布法罗、洛杉矶、拉斯维加斯、拿骚、圣托马斯、圣马丁）,上海出发,2018 09-03,上海众信国旅,¥26800起/人,售罄,¥28800起/人,售罄,94.4%的人满意该产品
加勒比海航线,皇家加勒比国际游轮【海洋和悦号 】 19天17晚 跟团游·东加勒比海+黄石公园+美西（迈阿密、盐湖城、黄石公园、拉斯维加斯、洛杉矶、拉巴第、圣马丁、波多黎各）,上海出发,2018 09-06,上海众信国旅,¥30800起/人,售罄,¥32800起/人,售罄,94.4%的人满意该产品
加勒比海航线,皇家加勒比国际游轮【海洋和悦号 】 11天9晚 跟团游·限时优惠 东加勒比海 美国+巴哈马+圣托马斯+圣马丁11日经典之旅,上海出发,2018 09-07,上海春秋旅行社有限公司,¥16999起/人,售罄,¥18999起/人,售罄,94.4%的人满意该产品
加勒比海航线,皇家加勒比国际游轮【海洋和悦号 】 18天16晚 跟团游·皇家加勒比 海洋和悦号游轮（东加勒比航线） 美国全景（东部+西部+南部）海陆空18日游,上海出发,2018 09-07,上航国旅,¥26800起/人,售罄,¥28800起/人,售罄,94.4%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 6天5晚 鹿儿岛+八代市,上海上船(多地可选),2018 10-15,皇家邮轮直连,¥3893起/人,¥4097起/人,¥4452起/人,¥5571起/人,92.2%的人满意该产品
爱琴海航线,皇家加勒比国际游轮【海洋迎风号】 11天9晚 跟团游·意大利+黑山+希腊四岛+迪拜4国11日爱琴海之旅,上海出发,2018 09-07,上海春秋旅行社有限公司,¥18800起/人,售罄,¥22800起/人,售罄,75.0%的人满意该产品
加勒比海航线,皇家加勒比国际游轮【海洋女皇号】 12天9晚 跟团游·长线环游古巴+巴拉德罗,上海出发(多地可选),2018 09-13,国际缤纷邮轮,¥26500起/人,¥27500起/人,售罄,¥31850起/人,50.0%的人满意该产品
东南亚航线,皇家加勒比国际游轮【海洋航行者号】 8天6晚 自由行·【赠接机】新航直飞+巴生/槟城/普吉+新加坡1晚,上海出发,2018 09-08,携程国旅,¥6700起/人,¥7500起/人,¥7834起/人,售罄,89.9%的人满意该产品
东南亚航线,皇家加勒比国际游轮【海洋航行者号】 8天6晚 跟团游·海上新马泰之旅,上海出发,2018 09-08,上海众信国旅,¥7167起/人,¥7667起/人,¥9167起/人,售罄,89.9%的人满意该产品
东南亚航线,皇家加勒比国际游轮【海洋航行者号】 7天6晚 跟团游·新加坡 槟城 普吉岛 东南亚风情之旅【新航直飞】,上海出发,2018 09-08,上海东航国旅,¥7498起/人,¥8098起/人,¥9132起/人,售罄,89.9%的人满意该产品
东南亚航线,皇家加勒比国际游轮【海洋航行者号】 7天6晚 跟团游·【新航直飞】 新加坡+巴生港（吉隆坡）+槟城+普吉岛+新加坡 (上海往返),上海出发,2018 09-08,同程国旅,¥7588起/人,¥8588起/人,¥8588起/人,售罄,89.9%的人满意该产品
东南亚航线,皇家加勒比国际游轮【海洋航行者号】 7天6晚 跟团游·新加坡+吉隆坡+槟城+普吉岛（含花穹+云雾林门票）,上海出发,2018 09-08,上海中妇旅国际旅行社有限公司,售罄,售罄,¥9980起/人,售罄,89.9%的人满意该产品
东南亚航线,皇家加勒比国际游轮【海洋航行者号】 6天5晚 跟团游·新加坡-吉隆坡-槟城-普吉岛-新加坡 风情游,上海出发,2018 09-09,光大星辰国旅,¥7149起/人,¥7733起/人,¥9066起/人,售罄,89.9%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 5天4晚 鹿儿岛,上海上船(多地可选),2018 10-07,皇家邮轮直连,¥3555起/人,¥3403起/人,¥3846起/人,¥4876起/人,92.2%的人满意该产品
阿拉斯加航线,皇家加勒比国际游轮【海洋探险者号】 13天11晚 跟团游·皇家加勒比 海洋探险者号游轮-阿拉斯加航线 +加拿大、美国西部海陆空13日怀旧艺术之旅,上海出发,2018 09-06,上航国旅,¥29800起/人,售罄,¥35800起/人,售罄,90.0%的人满意该产品
阿拉斯加航线,皇家加勒比国际游轮【海洋探险者号】 11天9晚 跟团游·限时优惠- 阿拉斯加冰河奇迹+西雅图+国家公园+奥特莱斯11日,上海出发,2018 09-05,上海春秋旅行社有限公司,¥22800起/人,售罄,¥28800起/人,售罄,90.0%的人满意该产品
加勒比海航线,皇家加勒比国际游轮【海洋和悦号 】 12天10晚 跟团游·限时优惠-西加勒比海 美国+墨西哥+牙买加+迈阿密12日经典之旅,上海出发,2018 09-20,上海春秋旅行社有限公司,¥17999起/人,售罄,¥19999起/人,售罄,94.4%的人满意该产品
加勒比海航线,皇家加勒比国际游轮【海洋魅丽号】 12天10晚 跟团游·邮轮停靠： 巴哈马 、墨西哥科兹美 、洪都拉斯 、墨西哥科斯塔玛雅4站,上海出发,2018 09-22,不夜城国旅,¥15800起/人,售罄,¥17800起/人,售罄,87.9%的人满意该产品
加勒比海航线,皇家加勒比国际游轮【海洋和悦号 】 15天13晚 跟团游·西加勒比海(巴哈马+圣汤姆斯+波多黎各+拉巴第）+欢乐美西,上海出发,2018 09-27,上海众信国旅,¥24800起/人,售罄,¥26800起/人,售罄,94.4%的人满意该产品
北美洲航线,皇家加勒比国际游轮【海洋冒险者号】 14天12晚 跟团游·限时优惠，季节限定-新英格兰+加拿大初秋赏枫之旅14日,上海出发,2018 09-27,上海春秋旅行社有限公司,¥25555起/人,售罄,¥27555起/人,售罄,100.0%的人满意该产品
加勒比海航线,皇家加勒比国际游轮【海洋魅丽号】 12天10晚 跟团游·阳光加勒比海巡游+休闲迈阿密12天10晚,上海出发,2018 09-28,光大星辰国旅,¥16000起/人,¥17000起/人,¥18500起/人,售罄,87.9%的人满意该产品
加勒比海航线,皇家加勒比国际游轮【海洋魅丽号】 11天9晚 跟团游·迈阿密+加勒比海,上海出发,2018 09-29,江苏国旅,¥18500起/人,售罄,售罄,售罄,87.9%的人满意该产品
加勒比海航线,皇家加勒比国际游轮【海洋魅丽号】 14天12晚 跟团游·探访美国四大名城：纽约、费城、华盛顿、迈阿密,上海出发,2018 09-29,南京原野,¥18900起/人,售罄,¥19900起/人,售罄,87.9%的人满意该产品
东南亚航线,皇家加勒比国际游轮【海洋航行者号】 7天5晚 跟团游·新加坡-吉隆坡-普吉岛-新加坡,上海出发,2018 09-16,光大星辰国旅,¥6999起/人,¥7699起/人,¥8999起/人,售罄,89.9%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 6天5晚 福冈+长崎,上海上船(多地可选),2018 11-03,不夜城国旅,¥3399起/人,¥3599起/人,¥3799起/人,¥4399起/人,92.2%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 5天4晚 长崎,上海上船(多地可选),2018 10-11,浙江中旅,¥3399起/人,¥3599起/人,¥3699起/人,¥5366起/人,92.2%的人满意该产品
东南亚航线,皇家加勒比国际游轮【海洋航行者号】 10天8晚 跟团游·国庆特惠 双航次！新加坡+吉隆坡+普吉岛+槟城,上海出发,2018 09-20,上海众信国旅,¥8500起/人,¥9000起/人,¥11000起/人,售罄,89.9%的人满意该产品
加勒比海航线,皇家加勒比国际游轮【海洋和悦号 】 15天13晚 跟团游·西加勒比海 美国+牙买加+墨西哥+加勒比小岛+迈阿密+芝加哥+德州,上海出发,2018 08-09,上海春秋旅行社有限公司,¥39800起/人,售罄,¥41800起/人,售罄,94.4%的人满意该产品
地中海航线,皇家加勒比国际游轮【海洋交响号】 10天8晚 跟团游·地中海世界遗产之旅 西班牙 法国 意大利 （西签）,上海出发,2018 09-22,同程国旅,¥17999起/人,售罄,¥20999起/人,售罄,100.0%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 6天5晚 福冈+长崎,上海上船(多地可选),2018 10-29,皇家邮轮直连,¥3353起/人,¥3557起/人,¥3738起/人,¥5560起/人,92.2%的人满意该产品
东南亚航线,皇家加勒比国际游轮【海洋航行者号】 6天5晚 跟团游·【新航直飞】 新加坡+巴生港（吉隆坡）+普吉岛+新加坡,上海出发,2018 09-23,同程国旅,¥6988起/人,¥7588起/人,¥8688起/人,售罄,89.9%的人满意该产品
东南亚航线,皇家加勒比国际游轮【海洋航行者号】 6天5晚 跟团游·新加坡 吉隆坡 普吉风情之旅【新航直飞】（含金沙空中花园门票）,上海出发,2018 09-23,上海东航国旅,¥6998起/人,¥7598起/人,¥8998起/人,售罄,89.9%的人满意该产品
东南亚航线,皇家加勒比国际游轮【海洋航行者号】 6天5晚 跟团游·新加坡 吉隆坡 普吉岛 南亚风情 【新航直飞】,上海出发,2018 09-23,上海东航国旅,¥6998起/人,¥7598起/人,¥8998起/人,售罄,89.9%的人满意该产品
加勒比海航线,皇家加勒比国际游轮【海洋魅丽号】 12天10晚 跟团游·停靠： 巴哈马 墨西哥科兹美 洪都拉斯 墨西哥科斯塔玛雅4站,上海出发,2018 10-19,不夜城国旅,¥15800起/人,售罄,¥17800起/人,售罄,87.9%的人满意该产品
东南亚航线,皇家加勒比国际游轮【海洋航行者号】 7天6晚 跟团游·新加坡+吉隆坡+普吉岛（含花穹+云雾林门票）,上海出发,2018 09-30,上海中妇旅国际旅行社有限公司,¥10980起/人,¥10580起/人,¥12580起/人,售罄,89.9%的人满意该产品
加勒比海航线,皇家加勒比国际游轮【海洋魅丽号】 12天10晚 跟团游·西加勒比海（巴哈马+墨西哥+罗阿坦）+迈阿密+大沼泽+西礁岛+奥特莱斯,上海出发,2018 10-20,上海众信国旅,¥15399起/人,售罄,¥17399起/人,售罄,87.9%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 5天4晚 八代市,上海上船(多地可选),2018 11-22,携程国旅,¥2799起/人,¥3499起/人,¥3699起/人,¥4399起/人,92.2%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 5天4晚 长崎,上海上船(多地可选),2018 11-08,光大星辰国旅,¥2838起/人,¥3266起/人,¥3766起/人,¥4366起/人,92.2%的人满意该产品
地中海航线,皇家加勒比国际游轮【海洋交响号】 10天8晚 跟团游·地中海+巴塞罗那10日之旅,上海出发,2018 09-29,凯撒国旅,¥19999起/人,售罄,¥22999起/人,售罄,100.0%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 6天5晚 福冈+长崎,上海上船(多地可选),2018 11-12,皇家邮轮直连,¥3760起/人,¥3657起/人,¥3838起/人,¥5360起/人,92.2%的人满意该产品
地中海航线,皇家加勒比国际游轮【海洋交响号】 12天9晚 跟团游·地中海巡航 +巴塞罗那深度,上海出发,2018 09-27,上航国旅,¥19800起/人,售罄,¥21800起/人,售罄,100.0%的人满意该产品
地中海航线,皇家加勒比国际游轮【海洋交响号】 12天9晚 跟团游·地中海+西班牙双城之旅,上海出发,2018 09-27,光大星辰国旅,¥19999起/人,售罄,¥22666起/人,售罄,100.0%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 6天5晚 八代市+日南市,上海上船(多地可选),2018 11-17,福建康辉,¥3099起/人,¥3599起/人,¥3999起/人,¥5199起/人,92.2%的人满意该产品
北美洲航线,皇家加勒比国际游轮【海洋圣歌号】 11天9晚 跟团游·加勒比海+奥兰多+纽约（纽约 巴哈马 奥兰多）,上海出发,2018 10-26,上海众信国旅,¥14299起/人,售罄,¥16299起/人,售罄,100.0%的人满意该产品
爱琴海航线,皇家加勒比国际游轮【海洋迎风号】 10天8晚 跟团游·意大利+希腊双岛+黑山+克罗地亚4国10日爱琴海之旅,上海出发,2018 09-28,上海春秋旅行社有限公司,¥19800起/人,售罄,¥24800起/人,售罄,75.0%的人满意该产品
加勒比海航线,皇家加勒比国际游轮【海洋绿洲号】 11天9晚 跟团游·奥兰多+东加勒比海巡游,上海出发,2018 10-27,江苏国旅,¥14400起/人,售罄,¥16400起/人,售罄,87.9%的人满意该产品
加勒比海航线,皇家加勒比国际游轮【海洋魅丽号】 12天10晚 跟团游·东加勒比海（圣马丁+波多黎各 +拉巴第）+迈阿密+大沼泽+西礁岛+奥特莱斯,上海出发,2018 10-27,上海众信国旅,¥15399起/人,售罄,¥17399起/人,售罄,87.9%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 6天5晚 鹿儿岛+福冈,上海上船(多地可选),2018 11-26,皇家邮轮直连,¥3320起/人,¥3524起/人,¥3705起/人,¥4691起/人,92.2%的人满意该产品
东南亚航线,皇家加勒比国际游轮【海洋航行者号】 6天5晚 跟团游·新加坡 吉隆坡 普吉岛 南亚风情 【国庆航次】【新航直飞】,上海出发,2018 10-01,上海东航国旅,¥10498起/人,¥11098起/人,¥11332起/人,售罄,89.9%的人满意该产品
东南亚航线,皇家加勒比国际游轮【海洋航行者号】 8天6晚 跟团游·【国庆双五星】海上新马泰之旅,上海出发,2018 09-30,上海众信国旅,¥10167起/人,¥11500起/人,¥12167起/人,售罄,89.9%的人满意该产品
东南亚航线,皇家加勒比国际游轮【海洋航行者号】 9天8晚 跟团游·国庆特惠，双航次！新加坡+吉隆坡+普吉岛+槟城,上海出发,2018 09-30,上海众信国旅,¥10667起/人,¥12000起/人,¥13167起/人,售罄,89.9%的人满意该产品
东南亚航线,皇家加勒比国际游轮【海洋航行者号】 6天5晚 跟团游·新加坡-吉隆坡-普吉岛-新加坡 风情游,上海出发,2018 10-01,光大星辰国旅,¥10421起/人,¥10955起/人,¥11844起/人,售罄,89.9%的人满意该产品
北美洲航线,皇家加勒比国际游轮【海洋圣歌号】 12天10晚 跟团游·神秘百慕大群岛、赠百老汇歌剧《歌剧魅影》,上海出发,2018 11-01,不夜城国旅,¥17800起/人,售罄,¥19800起/人,售罄,100.0%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 6天5晚 长崎+那霸,上海上船(多地可选),2018 12-01,携程国旅,¥2999起/人,¥3499起/人,¥3899起/人,¥4999起/人,92.2%的人满意该产品
北美洲航线,皇家加勒比国际游轮【海洋圣歌号】 11天9晚 跟团游·百慕大+波士顿+纽约,上海出发,2018 11-02,上海众信国旅,¥14299起/人,售罄,¥16299起/人,售罄,100.0%的人满意该产品
地中海航线,皇家加勒比国际游轮【海洋交响号】 14天12晚 跟团游·地中海巡游+西葡阳光之旅（葡萄牙、西班牙、法国、意大利）,上海出发,2018 10-02,上海众信国旅,¥22800起/人,售罄,¥25800起/人,售罄,100.0%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 5天4晚 福冈,上海上船(多地可选),2018 12-06,携程国旅,¥3100起/人,¥3400起/人,¥3599起/人,¥4299起/人,92.2%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 6天5晚 长崎+福冈,上海上船(多地可选),2018 12-10,皇家邮轮直连,¥3453起/人,¥3657起/人,¥3838起/人,¥5082起/人,92.2%的人满意该产品
爱琴海航线,皇家加勒比国际游轮【海洋迎风号】 11天9晚 跟团游·希腊列岛爱琴海巡游（意大利 希腊 黑山共和国）,上海出发,2018 11-16,上海众信国旅,¥13299起/人,¥14299起/人,售罄,售罄,75.0%的人满意该产品
爱琴海航线,皇家加勒比国际游轮【海洋迎风号】 11天8晚 跟团游·希腊列岛爱琴海巡游（意大利 希腊 黑山共和国）,上海出发,2018 11-01,上海众信国旅,¥13299起/人,¥14299起/人,售罄,售罄,75.0%的人满意该产品
爱琴海航线,皇家加勒比国际游轮【海洋迎风号】 11天8晚 跟团游·希腊列岛爱琴海巡游（意大利 希腊 黑山 克罗地亚）,上海出发,2018 11-22,上海众信国旅,¥13299起/人,¥14299起/人,售罄,售罄,75.0%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 6天5晚 八代+福冈,上海上船(多地可选),2018 12-15,皇家邮轮直连,¥3469起/人,¥3673起/人,¥3858起/人,¥5013起/人,92.2%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 6天5晚 长崎+福冈,上海上船(多地可选),2018 12-24,福建康辉,¥3299起/人,¥3799起/人,¥4099起/人,¥5599起/人,92.2%的人满意该产品
北美洲航线,皇家加勒比国际游轮【海洋圣歌号】 11天10晚 跟团游·神秘百慕大之旅【上海出发】,上海出发,2018 11-09,上海东航国旅,¥16998起/人,售罄,¥18998起/人,售罄,100.0%的人满意该产品
加勒比海航线,皇家加勒比国际游轮【海洋魅丽号】 12天10晚 跟团游·西加勒比海（巴哈马+墨西哥+罗阿坦）+迈阿密+大沼泽+西礁岛+奥特莱斯,上海出发,2018 11-10,上海众信国旅,¥15299起/人,售罄,¥17299起/人,售罄,87.9%的人满意该产品
加勒比海航线,皇家加勒比国际游轮【海洋魅丽号】 12天10晚 跟团游·邮轮停靠： 巴哈马 墨西哥科兹美 洪都拉斯 墨西哥科斯塔玛雅4站,上海出发,2018 11-10,不夜城国旅,¥15800起/人,售罄,¥17800起/人,售罄,87.9%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 6天5晚 长崎+鹿儿岛,上海上船(多地可选),2018 12-29,携程国旅,¥3499起/人,¥4099起/人,¥4599起/人,¥5199起/人,92.2%的人满意该产品
东南亚航线,皇家加勒比国际游轮【海洋航行者号】 6天5晚 跟团游·新加坡-吉隆坡-普吉岛邮轮之旅,上海出发,2018 10-07,北京缤纷国际旅行社有限公司,¥7798起/人,¥8298起/人,¥9298起/人,售罄,89.9%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 6天5晚 长崎+那霸,上海上船,2019 01-03,皇家邮轮直连,¥3698起/人,¥3898起/人,¥4223起/人,¥5423起/人,92.2%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 6天5晚 福冈+长崎,上海上船,2019 01-08,皇家邮轮直连,¥3548起/人,¥3748起/人,¥4073起/人,¥5273起/人,92.2%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 6天5晚 长崎+那霸,上海上船,2019 01-13,皇家邮轮直连,¥3406起/人,¥3606起/人,¥3931起/人,¥5131起/人,92.2%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 5天4晚 福冈,上海上船,2019 01-18,皇家邮轮直连,¥3132起/人,¥3648起/人,¥3552起/人,¥4512起/人,92.2%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 6天5晚 八代+福冈,上海上船,2019 01-22,皇家邮轮直连,¥3698起/人,¥3898起/人,¥4223起/人,¥5423起/人,92.2%的人满意该产品
北美洲航线,皇家加勒比国际游轮【海洋圣歌号】 12天10晚 跟团游·加勒比海+奥兰多+纽约之旅,上海出发,2018 11-16,上海众信国旅,¥14299起/人,售罄,¥16299起/人,售罄,100.0%的人满意该产品
加勒比海航线,皇家加勒比国际游轮【海洋魅丽号】 12天10晚 跟团游·东加勒比海（圣马丁+波多黎各 +拉巴第）+迈阿密+大沼泽+西礁岛+奥特莱斯,上海出发,2018 11-17,上海众信国旅,¥15399起/人,售罄,¥17399起/人,售罄,87.9%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 6天5晚 长崎+那霸,上海上船,2019 01-27,皇家邮轮直连,¥4398起/人,¥4698起/人,¥5082起/人,¥6282起/人,92.2%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 5天4晚 福冈,上海上船,2019 02-01,皇家邮轮直连,¥4028起/人,¥4222起/人,¥4528起/人,¥5488起/人,92.2%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 5天4晚 福冈,上海上船,2019 02-11,皇家邮轮直连,¥4028起/人,¥4222起/人,¥4528起/人,¥5488起/人,92.2%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 6天5晚 鹿儿岛+那霸,上海上船,2019 02-15,皇家邮轮直连,¥4498起/人,¥4698起/人,¥5082起/人,¥6282起/人,92.2%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 6天5晚 福冈+八代市,上海上船,2019 02-20,皇家邮轮直连,¥4198起/人,¥4498起/人,¥4915起/人,¥6115起/人,92.2%的人满意该产品
北欧航线,皇家加勒比国际游轮【海洋旋律号】 13天10晚 跟团游·皇家加勒比邮轮+北欧6国,上海出发,2018 08-16,北京缤纷国际旅行社有限公司,¥20998起/人,售罄,¥24998起/人,售罄,88.9%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 6天5晚 那霸+鹿儿岛,上海上船,2019 02-25,皇家邮轮直连,¥3828起/人,¥4128起/人,¥4607起/人,¥5807起/人,92.2%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 6天5晚 福冈+长崎,上海上船,2019 03-02,皇家邮轮直连,¥3841起/人,¥4041起/人,¥4366起/人,¥5566起/人,92.2%的人满意该产品
加勒比海航线,皇家加勒比国际游轮【海洋魅丽号】 11天9晚 跟团游·【限时优惠】西加勒比海+美国+墨西哥+巴哈马11日经典之旅,上海出发,2018 11-24,上海春秋旅行社有限公司,¥15999起/人,售罄,¥17999起/人,售罄,87.9%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 6天5晚 鹿儿岛+那霸,上海上船,2019 03-07,皇家邮轮直连,¥3841起/人,¥4174起/人,¥4499起/人,¥5566起/人,92.2%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 5天4晚 福冈,上海上船,2019 03-12,皇家邮轮直连,¥3252起/人,¥3412起/人,¥3672起/人,¥4632起/人,92.2%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 6天5晚 福冈+八代市,上海上船,2019 03-16,皇家邮轮直连,¥3841起/人,¥4041起/人,¥4366起/人,¥5566起/人,92.2%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 8天7晚 大阪+神户+横滨,上海上船,2019 03-21,皇家邮轮直连,¥5178起/人,¥5478起/人,¥6078起/人,¥8364起/人,92.2%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 6天5晚 长崎+福冈,上海上船,2019 03-28,皇家邮轮直连,¥3841起/人,¥4041起/人,¥4366起/人,¥5566起/人,92.2%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 6天5晚 鹿儿岛+福冈,上海上船,2019 04-02,皇家邮轮直连,¥4688起/人,¥4957起/人,¥5340起/人,¥6540起/人,92.2%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 6天5晚 福冈+长崎,上海上船,2019 04-07,皇家邮轮直连,¥3917起/人,¥4117起/人,¥4575起/人,¥5642起/人,92.2%的人满意该产品
日本航线,皇家加勒比国际游轮【海洋量子号】 5天4晚 福冈,上海上船,2019 04-12,皇家邮轮直连,¥3417起/人,¥3577起/人,¥3837起/人,¥4797起/人,92.2%的人满意该产品
